"","word","stemmed","n"
"1","0614171","0614171",1
"2","1","1",2
"3","10","10",3
"4","100","100",3
"5","11","11",1
"6","1135215","1135215",1
"7","1184142","1184142",1
"8","11958631","11958631",1
"9","12","12",1
"10","1200116","1200116",1
"11","1219453","1219453",1
"12","1221647","1221647",1
"13","1221652","1221652",1
"14","1255404","1255404",1
"15","130","130",1
"16","13008037","13008037",1
"17","13929451","13929451",1
"18","14","14",1
"19","1410","1410",1
"20","1415635","1415635",1
"21","1438690","1438690",1
"22","16","16",1
"23","1642526","1642526",2
"24","1736768","1736768",1
"25","175","175",1
"26","1754211","1754211",1
"27","18","18",2
"28","1872789","1872789",1
"29","1910","1910",1
"30","1925729","1925729",1
"31","1967754","1967754",1
"32","197","197",1
"33","1973563","1973563",1
"34","1976","1976",1
"35","1978","1978",3
"36","1980","1980",1
"37","1985","1985",1
"38","1986","1986",1
"39","1987","1987",3
"40","1991","1991",2
"41","1992","1992",1
"42","1993","1993",1
"43","1994135","1994135",1
"44","1997","1997",1
"45","1998401","1998401",1
"46","1b","1b",1
"47","1c","1c",1
"48","1st","1st",1
"49","2","2",5
"50","20","20",2
"51","2002","2002",2
"52","2003","2003",1
"53","2005","2005",2
"54","2007","2007",1
"55","2011","2011",1
"56","2013","2013",2
"57","2017786","2017786",1
"58","2018","2018",2
"59","2019","2019",2
"60","2020","2020",1
"61","2021","2021",1
"62","2098","2098",2
"63","2128607","2128607",1
"64","2137","2137",1
"65","2153234","2153234",1
"66","22","22",1
"67","2208121","2208121",1
"68","2208381","2208381",1
"69","2209559","2209559",1
"70","2213317","2213317",1
"71","2219550","2219550",1
"72","2246649","2246649",1
"73","2256268","2256268",1
"74","2265287","2265287",1
"75","2282126","2282126",1
"76","2289898","2289898",1
"77","2294607","2294607",1
"78","2298741","2298741",1
"79","2307742","2307742",1
"80","2309","2309",1
"81","2320934","2320934",1
"82","2332038","2332038",1
"83","238","238",1
"84","2384258","2384258",1
"85","24","24",2
"86","2402","2402",1
"87","2512","2512",1
"88","251st","251st",1
"89","254","254",1
"90","28","28",1
"91","284","284",1
"92","2c","2c",1
"93","3","3",7
"94","300","300",1
"95","33rd","33rd",1
"96","3475","3475",1
"97","37","37",1
"98","38","38",1
"99","39","39",2
"100","390","390",1
"101","3a","3a",1
"102","3rd","3rd",1
"103","3z","3z",1
"104","4","4",5
"105","402544","402544",1
"106","42","42",1
"107","42nd","42nd",1
"108","46","46",1
"109","468","468",1
"110","489520","489520",1
"111","4th","4th",1
"112","4x4","4x4",1
"113","5","5",3
"114","50","50",5
"115","52","52",2
"116","5360","5360",1
"117","55","55",6
"118","5ab","5ab",1
"119","5th","5th",3
"120","6","6",1
"121","604","604",2
"122","61","61",1
"123","7","7",6
"124","781","781",2
"125","783","783",1
"126","78th","78th",2
"127","7th","7th",1
"128","8","8",1
"129","87","87",1
"130","88","88",1
"131","8c","8c",1
"132","918","918",2
"133","940","940",1
"134","952","952",1
"135","987","987",1
"136","a.a.i.s.a","a.a.i.s.a",1
"137","a.c.e","a.c.",1
"138","a.c.o.a","a.c.o.a",1
"139","a.e","a.e",2
"140","a.v","a.v",2
"141","aa","aa",1
"142","aanondodhara","aanondodhara",1
"143","aarc","aarc",2
"144","aasee","aase",2
"145","ab","ab",7
"146","abandoned","abandon",2
